ID,Spanish,Portuguese
267,SHIBA INU,SHIBA INU
268,SHIH TZU,SHIH TZU
270,SILKY TERRIER,SILKY TERRIER
271,SKYE TERRIER,SKYE TERRIER
272,SMOOTH COLLIE,SMOOTH COLLIE
274,SPINONE ITALIANO,SPINONE ITALIANO
275,SPITZ ALEMAN,SPITZ ALEMAN
276,STAFFORDSHIRE BULL TERRIER,STAFFORDSHIRE BULL TERRIER
277,SUSSEX SPANIEL,SUSSEX SPANIEL
278,TECKEL TOY,TECKEL TOY
279,TERRANOVA,TERRANOVA
280,TERRIER ALEMAN DE CAZA,TERRIER ALEMAN DE CAZA
281,TERRIER BRASILEÑO,TERRIER BRASILEÑO
282,TERRIER JAPONES,TERRIER JAPONES
283,TERRIER NEGRO RUSO,TERRIER NEGRO RUSO
284,TERRIER TIBETANO,TERRIER TIBETANO
285,THAI RIDGEBACK,THAI RIDGEBACK
286,TOSA INU,TOSA INU
287,VOLPINO ITALIANO,VOLPINO ITALIANO
288,WELSH CORGI PEMBROKE,WELSH CORGI PEMBROKE
289,WELSH SPRINGER SPANIEL,WELSH SPRINGER SPANIEL
290,WELSH TERRIER,WELSH TERRIER
291,WEST HIGHLAND WHITE TERRIER,WEST HIGHLAND WHITE TERRIER
292,WHIPPET,WHIPPET
293,YORKSHIRE TERRIER,YORKSHIRE TERRIER
295,ROUGH COLLIE,ROUGH COLLIE
296,PERRO DESNUDO MEXICANO,PERRO DESNUDO MEXICANO
297,SPITZ JAPONÉS,SPITZ JAPONÉS
298,PASTOR BLANCO SUIZO,PASTOR BLANCO SUIZO
299,SPITZ DE NORBOTTEN,SPITZ DE NORBOTTEN
300,RATONERO BODEGUERO ANDALUZ,RATONERO BODEGUERO ANDALUZ
301,MESTIZO X-SMALL,MESTIZO X-SMALL
302,PERRO DESNUDO DEL PERÚ,PERRO DESNUDO DEL PERÚ
303,TIBETAN SPANIEL,TIBETAN SPANIEL
304,TOY TERRIER,TOY TERRIER
305,CANICHE MINIATURA,CANICHE MINIATURA
306,CANICHE MEDIANO,CANICHE MEDIANO
307,CANICHE GIGANTE,CANICHE GIGANTE
308,TECKEL MINI,TECKEL MINI
309,TECKEL ESTÁNDAR,TECKEL ESTÁNDAR
310,BULLTERRIER MINIATURA,BULLTERRIER MINIATURA
311,GRIFFON BELGA,GRIFFON BELGA
312,PETIT BRABANÇON,PETIT BRABANÇON
